entry_atr_period,entry_stop_atr_rate,stop_atr_period,stop_loss_atr_rate,trailing_stop_atr_rate,take_profit_atr_period,take_profit_atr_rate,slow_ma_period,max_day_attempts,astro_signal_trend_period,astro_signal_shift_hour,enable_astro_signal,enable_moon_zodsign_filter,score
44,0.4,15,2.9,5.2,23,3,80,3,3,6,1,1,0.0093084399057815
32,0.5,29,3.0,10.6,31,6,47,3,3,12,0,0,0.0001
10,0.4,10,3.1,20.0,10,10,10,5,4,0,0,0,0.0102775837218544
10,1.0,49,1.0,1.0,48,10,10,5,1,0,1,1,0.0001
50,0.1,10,5.0,1.0,50,10,10,5,5,0,0,1,0.0001
50,1.0,10,5.0,1.0,50,10,10,1,5,21,1,0,0.0001
45,0.4,14,3.2,5.4,21,3,79,3,3,6,1,1,0.008815997857881
49,0.1,10,1.0,1.2,50,10,100,5,1,1,1,1,0.0001
50,1.0,11,4.8,1.5,50,10,13,1,5,22,1,0,0.0130822022543577
38,1.0,36,1.4,7.1,26,6,47,4,4,8,1,1,0.0083812941665118
49,0.8,20,1.5,8.4,18,6,38,3,1,21,1,0,0.0170067597048957
37,1.0,21,3.9,2.1,46,6,79,1,3,3,1,0,0.0138418475191116
48,0.4,15,3.0,5.9,21,3,72,3,3,6,1,1,0.0093389018515602
50,0.4,27,2.7,16.6,40,7,61,4,4,16,1,1,0.0083373505964422
30,0.4,29,3.1,10.8,30,6,49,3,3,11,0,0,0.0001
50,0.4,27,2.7,16.6,40,7,61,5,5,23,0,1,0.0164921994152699
36,0.4,46,1.3,7.9,21,7,47,4,4,8,1,0,0.0146357379102378
50,1.0,50,5.0,1.3,50,2,10,1,1,22,1,0,0.0001
50,0.1,10,5.0,1.2,50,2,10,5,1,0,1,0,0.0001
49,0.1,49,5.0,20.0,10,2,97,5,5,0,0,0,0.0164057436427609
49,0.1,49,4.7,20.0,49,2,12,1,1,0,1,0,0.0001
10,0.8,10,1.4,9.3,18,2,10,5,5,0,1,0,0.0162630351081778
46,0.1,50,3.0,5.5,10,3,74,5,3,0,1,0,0.014662751190482
43,0.7,28,1.3,9.7,50,5,97,1,1,4,1,1,0.0124293351082573
42,0.1,47,5.0,1.0,24,2,22,4,1,0,1,0,0.0001
46,0.4,15,3.1,6.0,21,3,77,3,3,5,1,1,0.0097244834771765
50,0.9,10,1.0,13.9,10,7,10,1,5,10,1,1,0.0001
50,0.5,41,3.0,1.2,26,8,78,1,5,13,0,1,0.0001
50,0.1,10,1.0,1.2,50,10,100,5,1,0,1,1,0.0001
38,1.0,40,1.3,7.8,27,6,47,4,4,8,1,1,0.0083769714309145
50,0.2,47,3.6,1.0,24,2,22,5,3,22,0,1,0.0001
50,0.7,18,1.0,17.2,10,2,83,5,1,3,1,1,0.0138848556217475
49,1.0,21,5.0,2.1,50,6,10,1,5,22,1,0,0.0001
49,0.5,20,1.4,10.5,18,6,40,3,1,11,0,0,0.0001
14,1.0,38,1.5,17.2,27,6,51,3,1,4,1,1,0.0001
44,0.9,13,4.0,13.2,10,7,74,5,5,11,1,1,0.0001
30,0.2,47,3.6,13.9,24,6,22,3,3,22,0,1,0.0166860213586771
10,1.0,50,1.5,1.0,27,6,10,5,4,4,1,1,0.0001
50,0.5,50,5.0,20.0,46,2,85,1,3,0,1,0,0.0141993938300927
42,0.8,20,1.4,13.9,18,6,40,4,1,21,1,0,0.016850336788315
10,1.0,37,1.5,8.8,28,6,51,4,4,4,1,1,0.0078261255821416
50,0.5,29,3.0,10.3,30,10,10,1,3,0,1,1,0.0096088023677223
30,1.0,30,1.0,20.0,10,6,55,3,5,0,1,0,0.0121781737398089
39,0.1,40,1.7,14.1,46,10,18,2,2,9,0,1,0.0001
36,1.0,38,1.3,7.9,27,6,51,4,4,8,1,1,0.0078248494611938
30,0.4,23,3.1,10.5,30,6,20,5,3,11,0,0,0.0001
50,0.1,11,5.0,2.0,50,2,10,5,1,1,1,0,0.0001
49,1.0,11,1.0,19.5,48,10,10,1,1,0,1,1,0.0155151599524534
47,0.4,15,3.1,6.4,21,3,74,3,3,6,1,1,0.0088873254929256
30,0.5,29,2.8,11.0,31,6,46,3,3,12,0,0,0.0001
10,1.0,11,1.0,19.9,11,2,14,5,5,0,1,0,0.0143211046833726
10,1.0,50,1.0,1.5,50,10,13,5,1,0,1,1,0.0001
31,0.5,28,3.0,10.4,31,6,52,3,3,11,0,0,0.0001
10,0.8,20,1.4,20.0,10,6,10,3,1,21,1,0,0.0001
36,0.6,39,1.3,9.1,27,6,47,4,4,8,1,1,0.0083717229328305
50,0.1,10,5.0,1.0,50,10,11,5,5,23,0,1,0.0001
46,1.0,10,3.9,13.9,50,7,76,1,5,10,1,1,0.0001
50,0.1,10,1.0,1.2,10,10,95,5,1,0,0,0,0.0001
49,0.4,27,2.5,16.6,38,7,57,4,4,16,1,1,0.0077957834433256
36,1.0,10,5.0,20.0,27,6,47,4,1,8,1,1,0.0149921533302155
26,1.0,21,3.3,2.0,20,6,78,3,3,1,1,0,0.0138827257998407
50,0.4,22,3.1,13.9,29,10,20,5,4,17,0,1,0.0001
18,0.3,33,1.1,18.3,41,3,35,4,3,17,0,1,0.0001
36,0.6,39,1.3,9.0,29,6,45,4,4,7,1,1,0.0083842531904837
50,0.1,10,5.0,1.0,50,2,10,5,1,1,1,0,0.0001
25,1.0,21,3.1,1.0,20,7,77,3,3,2,1,0,0.0001
10,0.6,10,5.0,20.0,50,10,100,5,1,23,1,0,0.0156470169646901
10,0.2,47,3.6,13.9,10,2,22,5,5,0,0,0,0.0001
37,0.5,20,3.9,2.2,46,6,50,1,3,5,0,1,0.0001
49,0.1,50,5.0,19.0,10,2,100,5,5,1,0,0,0.0166161335765881
50,0.4,27,2.7,1.0,50,10,100,4,1,16,1,1,0.0001
42,0.7,26,1.3,9.1,48,5,91,1,1,6,1,1,0.0122507456701563
37,1.0,10,5.0,20.0,26,6,44,4,1,7,1,1,0.0149141774248326
40,0.2,23,1.9,6.2,48,7,55,2,1,21,1,0,0.0169300034726048
50,1.0,10,1.0,19.0,50,10,10,1,1,0,1,1,0.0154325600835497
36,1.0,10,5.0,20.0,27,6,47,4,4,8,1,1,0.0083687402487316
50,0.1,10,1.0,1.0,50,10,100,5,1,0,1,0,0.0001
49,1.0,10,1.1,20.0,50,10,16,1,1,0,1,1,0.0001
49,0.4,36,3.8,14.3,28,9,60,5,3,8,1,0,0.0157888083062265
30,0.1,10,3.0,1.0,30,6,55,3,3,0,0,1,0.0001
46,1.0,13,3.2,2.1,19,6,76,3,5,3,1,1,0.0001
50,0.8,19,1.3,9.2,19,6,43,3,1,20,1,0,0.0168216809675062
46,0.7,15,3.0,5.5,22,2,83,3,3,6,1,1,0.009303099549977
46,0.5,20,3.9,2.2,46,7,76,5,3,10,0,1,0.0001
15,0.7,19,1.3,17.0,14,2,85,3,1,4,1,1,0.0139805606233236
30,0.8,20,1.4,10.5,18,6,55,3,3,11,1,0,0.015195376038454
37,0.1,40,1.5,14.0,44,2,24,2,2,5,0,1,0.0001
30,0.1,30,3.0,1.0,30,10,55,3,1,0,0,0,0.0001
50,1.0,50,5.0,20.0,10,6,100,5,4,0,1,1,0.0001
43,0.7,27,1.1,8.5,50,5,94,1,1,4,1,1,0.0124768161572996
50,0.1,10,5.0,1.0,50,10,10,5,1,0,0,1,0.0001
10,1.0,10,5.0,8.9,27,6,51,4,4,8,1,1,0.0078200708126259
46,0.7,27,1.2,8.9,49,5,76,1,1,4,1,1,0.0001
49,0.1,20,1.4,1.0,18,2,40,5,1,0,1,0,0.0001
10,1.0,38,1.5,20.0,27,6,100,4,1,4,1,1,0.0126459867611352
46,0.9,15,4.0,13.8,10,7,73,5,5,10,1,1,0.0001
42,0.2,47,3.4,14.0,24,8,24,4,3,23,0,1,0.0001
10,0.7,10,5.0,20.0,13,10,83,5,1,3,1,1,0.0139352856151356
42,0.7,25,1.5,9.2,49,5,98,1,1,4,1,1,0.0121170866750179
49,0.1,20,1.4,9.3,18,10,100,3,1,21,1,1,0.0001
36,1.0,10,1.5,8.9,27,6,47,4,1,4,1,1,0.0149095793630803
37,1.0,20,5.0,1.4,46,2,85,1,1,0,1,1,0.0134949192207299
50,0.1,10,1.0,1.0,50,10,98,5,1,0,1,1,0.0001
43,0.5,20,1.2,8.9,46,2,94,1,1,5,0,1,0.0001
14,0.6,18,1.5,17.2,42,2,83,3,1,3,1,1,0.014055795415986
50,0.4,27,3.1,14.4,30,7,20,5,4,16,1,1,0.0001
49,0.1,40,1.5,14.0,50,10,24,2,2,9,1,0,0.0172180131686852
30,0.6,30,3.0,3.4,30,6,55,3,3,11,0,0,0.0001
14,0.7,18,1.4,18.2,11,2,82,3,1,2,1,1,0.0137723117439095
49,0.7,10,5.0,8.9,50,10,10,1,5,22,1,0,0.013498488584298
35,0.6,39,1.3,9.7,28,6,41,4,4,8,1,1,0.0088068990044191
42,0.1,10,3.6,13.9,50,9,22,4,3,22,1,1,0.0001
10,0.1,10,1.0,1.0,50,10,10,5,1,0,1,0,0.0001
50,0.7,27,1.0,8.9,50,5,94,1,1,0,1,1,0.0125875747375119
38,0.4,46,1.2,7.6,21,7,47,3,4,8,1,0,0.0144478572514557
50,0.1,10,5.0,1.0,48,2,13,5,1,0,1,0,0.0001
50,0.1,50,4.9,19.0,11,2,100,5,5,0,0,0,0.0165774917245146
10,0.1,49,5.0,1.4,50,2,100,1,1,0,1,0,0.0164537079160244
39,0.2,47,3.4,14.2,23,9,19,4,3,22,0,1,0.0001
34,0.4,45,1.5,7.8,24,7,45,3,4,9,1,0,0.0146170911678813
46,1.0,49,3.9,13.9,10,2,76,1,1,0,1,1,0.0135941875804012
49,0.6,49,3.1,3.4,23,10,20,5,4,21,1,1,0.0001
37,0.7,20,1.2,8.9,49,5,94,1,1,5,0,1,0.0133690006075882
14,0.4,15,1.3,17.2,13,3,83,3,3,6,1,1,0.0092712839448941
49,0.6,20,3.3,3.4,18,6,98,2,3,21,1,0,0.0131412332555406
10,0.7,49,5.0,1.4,49,2,100,1,1,4,1,1,0.0121923047609128
36,1.0,38,1.3,7.9,21,7,47,4,4,8,1,0,0.0142761615500434
42,0.1,10,5.0,13.9,50,10,22,4,5,23,0,1,0.0001
44,0.3,28,2.2,11.8,28,5,43,4,5,23,0,1,0.0001
37,1.0,20,5.0,1.4,50,2,100,1,3,0,1,1,0.0078128404149997
42,0.4,27,2.7,16.6,40,9,61,4,3,22,1,1,0.0093389535554708
28,0.8,49,1.5,17.6,13,5,75,4,5,0,1,1,0.0001
49,1.0,23,1.0,14.4,30,10,20,5,5,0,0,0,0.0001
25,0.1,21,3.2,2.1,50,6,79,1,3,3,1,0,0.01423242394886
